"";"ano";"mes";"nm_pais_origem";"nm_pais_destino";"nm_pais";"sg_empresa_icao";"rpk"
"1";2019;1;"BRASIL";"BRASIL";"BRASIL";"ACN";263657
"2";2019;1;"BRASIL";"BRASIL";"BRASIL";"AZU";1863760000
"3";2019;1;"BRASIL";"BRASIL";"BRASIL";"GLO";2917580000
"4";2019;1;"BRASIL";"BRASIL";"BRASIL";"ONE";997762000
"5";2019;1;"BRASIL";"BRASIL";"BRASIL";"PAM";5882100
"6";2019;1;"BRASIL";"BRASIL";"BRASIL";"PTB";20779900
"7";2019;1;"BRASIL";"BRASIL";"BRASIL";"TAM";2317070000
"8";2019;1;"BRASIL";"BRASIL";"BRASIL";"TTL";2942150
"9";2019;2;"BRASIL";"BRASIL";"BRASIL";"ACN";278344
"10";2019;2;"BRASIL";"BRASIL";"BRASIL";"AZU";1562830000
"11";2019;2;"BRASIL";"BRASIL";"BRASIL";"GLO";2038130000
"12";2019;2;"BRASIL";"BRASIL";"BRASIL";"ONE";867908000
"13";2019;2;"BRASIL";"BRASIL";"BRASIL";"PAM";5830420
"14";2019;2;"BRASIL";"BRASIL";"BRASIL";"PTB";17197900
"15";2019;2;"BRASIL";"BRASIL";"BRASIL";"SID";57076
"16";2019;2;"BRASIL";"BRASIL";"BRASIL";"TAM";1888880000
"17";2019;2;"BRASIL";"BRASIL";"BRASIL";"TTL";2657330
"18";2019;3;"BRASIL";"BRASIL";"BRASIL";"ACN";278311
"19";2019;3;"BRASIL";"BRASIL";"BRASIL";"AZU";1625260000
"20";2019;3;"BRASIL";"BRASIL";"BRASIL";"GLO";2019030000
"21";2019;3;"BRASIL";"BRASIL";"BRASIL";"ONE";925860000
"22";2019;3;"BRASIL";"BRASIL";"BRASIL";"PAM";6150890
"23";2019;3;"BRASIL";"BRASIL";"BRASIL";"PTB";15850500
"24";2019;3;"BRASIL";"BRASIL";"BRASIL";"SID";142780
"25";2019;3;"BRASIL";"BRASIL";"BRASIL";"TAM";1973560000
"26";2019;3;"BRASIL";"BRASIL";"BRASIL";"TTL";2728760
"27";2019;4;"BRASIL";"BRASIL";"BRASIL";"ACN";284457
"28";2019;4;"BRASIL";"BRASIL";"BRASIL";"AZU";1655660000
"29";2019;4;"BRASIL";"BRASIL";"BRASIL";"GLO";1956510000
"30";2019;4;"BRASIL";"BRASIL";"BRASIL";"ONE";513103000
"31";2019;4;"BRASIL";"BRASIL";"BRASIL";"PAM";6724630
"32";2019;4;"BRASIL";"BRASIL";"BRASIL";"PTB";19295200
"33";2019;4;"BRASIL";"BRASIL";"BRASIL";"SID";502722
"34";2019;4;"BRASIL";"BRASIL";"BRASIL";"TAM";1930440000
"35";2019;4;"BRASIL";"BRASIL";"BRASIL";"TTL";2767720
"36";2019;5;"BRASIL";"BRASIL";"BRASIL";"ACN";338590
"37";2019;5;"BRASIL";"BRASIL";"BRASIL";"AZU";1721580000
"38";2019;5;"BRASIL";"BRASIL";"BRASIL";"GLO";2027840000
"39";2019;5;"BRASIL";"BRASIL";"BRASIL";"PAM";6630950
"40";2019;5;"BRASIL";"BRASIL";"BRASIL";"PTB";20815400
"41";2019;5;"BRASIL";"BRASIL";"BRASIL";"SID";1169210
"42";2019;5;"BRASIL";"BRASIL";"BRASIL";"TAM";1991310000
"43";2019;5;"BRASIL";"BRASIL";"BRASIL";"TTL";2862050
"44";2019;6;"BRASIL";"BRASIL";"BRASIL";"ACN";282433
"45";2019;6;"BRASIL";"BRASIL";"BRASIL";"AZU";1720020000
"46";2019;6;"BRASIL";"BRASIL";"BRASIL";"GLO";2103770000
"47";2019;6;"BRASIL";"BRASIL";"BRASIL";"PAM";6897780
"48";2019;6;"BRASIL";"BRASIL";"BRASIL";"PTB";21509900
"49";2019;6;"BRASIL";"BRASIL";"BRASIL";"SID";154147
"50";2019;6;"BRASIL";"BRASIL";"BRASIL";"TAM";1906110000
"51";2019;6;"BRASIL";"BRASIL";"BRASIL";"TTL";2601740
"52";2019;7;"BRASIL";"BRASIL";"BRASIL";"ACN";181760
"53";2019;7;"BRASIL";"BRASIL";"BRASIL";"AZU";2123900000
"54";2019;7;"BRASIL";"BRASIL";"BRASIL";"GLO";2834170000
"55";2019;7;"BRASIL";"BRASIL";"BRASIL";"PAM";7652240
"56";2019;7;"BRASIL";"BRASIL";"BRASIL";"PTB";28006300
"57";2019;7;"BRASIL";"BRASIL";"BRASIL";"SID";740529
"58";2019;7;"BRASIL";"BRASIL";"BRASIL";"TAM";2451230000
"59";2019;7;"BRASIL";"BRASIL";"BRASIL";"TTL";2845440
"60";2019;8;"BRASIL";"BRASIL";"BRASIL";"ACN";191217
"61";2019;8;"BRASIL";"BRASIL";"BRASIL";"AZU";1958460000
"62";2019;8;"BRASIL";"BRASIL";"BRASIL";"GLO";2339020000
"63";2019;8;"BRASIL";"BRASIL";"BRASIL";"OMI";20874
"64";2019;8;"BRASIL";"BRASIL";"BRASIL";"PAM";6832320
"65";2019;8;"BRASIL";"BRASIL";"BRASIL";"PTB";23002300
"66";2019;8;"BRASIL";"BRASIL";"BRASIL";"SID";418204
"67";2019;8;"BRASIL";"BRASIL";"BRASIL";"TAM";2322040000
"68";2019;8;"BRASIL";"BRASIL";"BRASIL";"TTL";3057740
"69";2019;9;"BRASIL";"BRASIL";"BRASIL";"ACN";140596
"70";2019;9;"BRASIL";"BRASIL";"BRASIL";"AZU";1917090000
"71";2019;9;"BRASIL";"BRASIL";"BRASIL";"GLO";2318950000
"72";2019;9;"BRASIL";"BRASIL";"BRASIL";"OMI";48898
"73";2019;9;"BRASIL";"BRASIL";"BRASIL";"PAM";5871600
"74";2019;9;"BRASIL";"BRASIL";"BRASIL";"PTB";23909900
"75";2019;9;"BRASIL";"BRASIL";"BRASIL";"SID";1055890
"76";2019;9;"BRASIL";"BRASIL";"BRASIL";"TAM";2329780000
"77";2019;9;"BRASIL";"BRASIL";"BRASIL";"TTL";2596290
"78";2019;10;"BRASIL";"BRASIL";"BRASIL";"ACN";287196
"79";2019;10;"BRASIL";"BRASIL";"BRASIL";"AZU";2021600000
"80";2019;10;"BRASIL";"BRASIL";"BRASIL";"GLO";2394430000
"81";2019;10;"BRASIL";"BRASIL";"BRASIL";"OMI";182460
"82";2019;10;"BRASIL";"BRASIL";"BRASIL";"PAM";4973280
"83";2019;10;"BRASIL";"BRASIL";"BRASIL";"PTB";26307400
"84";2019;10;"BRASIL";"BRASIL";"BRASIL";"SID";1441330
"85";2019;10;"BRASIL";"BRASIL";"BRASIL";"TAM";2558390000
"86";2019;10;"BRASIL";"BRASIL";"BRASIL";"TTL";2879460
"87";2019;11;"BRASIL";"BRASIL";"BRASIL";"ACN";496593
"88";2019;11;"BRASIL";"BRASIL";"BRASIL";"AZU";1837780000
"89";2019;11;"BRASIL";"BRASIL";"BRASIL";"GLO";2389450000
"90";2019;11;"BRASIL";"BRASIL";"BRASIL";"OMI";1136410
"91";2019;11;"BRASIL";"BRASIL";"BRASIL";"PAM";723069
"92";2019;11;"BRASIL";"BRASIL";"BRASIL";"PTB";22201600
"93";2019;11;"BRASIL";"BRASIL";"BRASIL";"SID";1915600
"94";2019;11;"BRASIL";"BRASIL";"BRASIL";"TAM";2610350000
"95";2019;11;"BRASIL";"BRASIL";"BRASIL";"TTL";2833570
"96";2019;12;"BRASIL";"BRASIL";"BRASIL";"ACN";719513
"97";2019;12;"BRASIL";"BRASIL";"BRASIL";"AZU";2060300000
"98";2019;12;"BRASIL";"BRASIL";"BRASIL";"GLO";2843940000
